##,name,portal,"NCBI Taxon","assembly length","#of genes","is public","is published","is superseded","superseded by","publication(s)","pubmed id(s)"
767,"Leptodontidium orchidicola MPI-SDFR-AT-0119 v2.0",Lepor2,75374,77016911,21254,Y,N,N,,,
768,"Leotiomycetes sp. MPI-SDFR-AT-0126 v1.0",Phimu1,1709938,54044039,17024,Y,N,N,,,
769,"Psilocybe cubensis v1.0",Psicub1_1,181762,41302601,13361,Y,Y,N,,"Fricke J et al.,2017","28763571"
770,"Boeremia exigua MPI-SDFR-AT-0100 v1.0",Boeex1,749465,35322113,12871,Y,N,N,,,
771,"Caecomyces churrovis A v1.0",Caecom1,2019372,165495782,15009,Y,N,N,,,
772,"Rhexocercosporidium sp. MPI-PUGE-AT-0058 v1.0",Rhesp1,2042821,62745254,16722,Y,N,N,,,
773,"Paecilomyces niveus CO7 v1.0",Bysni1,5093,36022454,10584,Y,Y,N,,"Biango-Daniels MN et al.,2018","29930063"
774,"Talaromyces borbonicus CBS 141340 ",Talabor1,5094,27050413,9744,Y,Y,N,,"Varriale S et al.,2018","29843575"
775,"Mycena floridula CBHHK072 v1.0",Mycflo1,1033242,118533562,29475,Y,N,N,,,
776,"Mycena amicta BAPX v1.0",Mycami1,380012,81431410,25102,Y,N,N,,,
777,"Mycena rebaudengoi CBHHK068 v1.0",Mycreb1,1045383,218590756,52308,Y,N,N,,,
778,"Mycena filopes CBHHK001 v1.0",Mycfil1,858877,112004863,29152,Y,N,N,,,
779,"Suillus cothurnatus VC 1858 v1.0",Suicot1,48568,94611779,19836,Y,N,N,,,
780,"Lentinula afn. lateritia sp2 HRB7682 ss15 v1.0",Lenafn1,40482,44793336,13891,Y,N,N,,,
781,"Lentinula edodes Le(Bin) 0899 ss11 v1.0",Lenedo1,5353,45594472,14079,Y,N,N,,,
782,"Lentinula raphanica INPA1701G ss19 v1.0",Lenrap1,153919,49067377,16189,Y,N,N,,,
783,"Lentinula lateritia RHP3577 ss4 v1.0",Lenlat1,40482,45430989,13354,Y,N,N,,,
784,"Plectosphaerella cucumerina RP01 v1.0",Plecuc1,40658,36520717,12956,Y,N,N,,,
785,"Gelasinospora tetrasperma v1.0",Gelte1,94610,43856413,11251,Y,N,N,,,
786,"Sordaria brevicollis FGSC1904 v1.0",Sorbr1,83679,53085477,10927,Y,N,N,,,
787,"Cercophora scortea SMH4131-1 v1.0",Cersc1,314031,40165273,11779,Y,N,N,,,
788,"Aspergillus sclerotiorum CBS 549.65 v1.0",Aspsc1,138282,37971091,12620,Y,N,N,,,
789,"Aspergillus unguis CBS132.55 v1.0",Aspung1,40381,26060700,10397,Y,N,N,,,
790,"Aspergillus triticus CBS266.81 v1.0",Asptr1,478866,27452540,9769,Y,N,N,,,
791,"Aspergillus venezuelensis CBS 868.97 v1.0",Aspven1,1810929,34837464,12450,Y,N,N,,,
792,"Aspergillus welwitschiae CBS139.54b v1.0",Aspwel1,1341132,37511876,13687,Y,Y,N,,"Vesth TC et al.,2018","30349117"
793,"Aspergillus roseoglobulosus CBS112800 v1.0",Aspros1,1250373,35815337,12489,Y,N,N,,,
794,"Aspergillus neoauricomus CBS112787 v1.0",Aspneoa1,1883083,36859054,12221,Y,N,N,,,
795,"Aspergillus restrictus CBS 118.33 v1.0",Aspres1,5064,23256008,9143,Y,N,N,,,
796,"Aspergillus neoechinulatus CBS120.55 v1.0",Aspne1,2184044,30669358,10504,Y,N,N,,,
797,"Aspergillus amylovorus CBS 600.67 v1.0",Aspamy1,176161,34894441,12857,Y,N,N,,,
798,"Aspergillus chevalieri CBS 522.65 v1.0",Aspchev1,182096,26413841,10253,Y,N,N,,,
799,"Aspergillus parvulus CBS 136.61 v1.0",Aspparv1,41750,32731898,11927,Y,N,N,,,
800,"Aspergillus stercoraria CBS 428.93 v1.0",Aspstec1_1,1883081,29263932,10324,Y,N,N,,,
801,"Aspergillus filifera CBS 114510 v1.0",Aspfili1,447248,31484740,11686,Y,N,N,,,
802,"Aspergillus brevijanus CBS 111.46 v1.0",Aspbrev1,176172,36004448,12832,Y,N,N,,,
803,"Aspergillus multicolor v1.0",Aspmul1_1,41759,35254497,12821,Y,N,N,,,
804,"Aspergillus olivicola v1.0",Aspoli1_1,1250372,33173879,12183,Y,N,N,,,
805,"Aspergillus desertorum CBS 653.73 v1.0",Aspdese1,1810909,29041708,10111,Y,N,N,,,
806,"Aspergillus undulatus CBS 261.88 v1.0",Aspund1_1,1810928,32112944,11802,Y,N,N,,,
807,"Aspergillus recurvatus v1.0",Asprec1_1,41761,30717846,11007,Y,N,N,,,
808,"Aspergillus stella-maris CBS 113639 v1.0",Aspstel1_1,1810926,33998249,12537,Y,N,N,,,
809,"Aspergillus acristatulus CBS 119.55 v1.0",Aspacri1,286159,32593788,11221,Y,N,N,,,
810,"Aspergillus insolitus CBS 384.61 v1.0",Aspinso1,1131488,23177606,8834,Y,N,N,,,
811,"Aspergillus bisporus CBS 707.71 v1.0",Aspbisp1,41753,27095172,9731,Y,N,N,,,
812,"Aspergillus penicilloides CBS 540.65 v1.0",Asppeni1,41959,26403364,10386,Y,N,N,,,
813,"Aspergillus funiculosus CBS 116.56 v1.0",Aspfuni1,176168,25445165,9300,Y,N,N,,,
814,"Aspergillus robustus CBS 428.77 v1.0",Asprobu1,138281,33138998,12182,Y,N,N,,,
815,"Aspergillus indicus v2.0",Aspind2_1,138288,32492420,11361,Y,N,N,,,
816,"Crassisporium funariophilum CBS 144457 v1.0",Crafun1,1954473,37117181,13637,Y,Y,N,,"Steindorff AS et al.,2020","33034064"
817,"Abortiporus biennis CCBS 521 v1.0",Abobi1,137743,45165060,11987,Y,N,N,,,
818,"Fomitopsis betulina CIRM-BRFM 1772 v1.1",Pipbet1_1,40450,42863829,12070,Y,N,N,,,
819,"Amylocystis lapponica SKaAmylap13 v1.0",Amylap1_1,202700,35500685,11559,Y,N,N,,,
820,"Rozella allomycis CSF55 single-cell v1.0",Rozal_SC1,281847,13461086,6694,Y,Y,N,,"Ahrendt SR et al.,2018","30297742"
821,"Blyttiomyces helicus single-cell v1.0",Blyhe1,388810,46472760,12167,Y,Y,N,,"Ahrendt SR et al.,2018","30297742"
822,"Thamnocephalis sphaerospora RSA 1356 single-cell v1.0",Thasp1,78915,18203817,6857,Y,Y,N,,"Ahrendt SR et al.,2018","30297742"
823,"Metschnikowia bicuspidata single-cell v1.0",Metbi_SCcomb,27322,10953298,4778,Y,Y,N,,"Ahrendt SR et al.,2018","30297742"
824,"Caulochytrium protostelioides ATCC 52028 v1.0",Caupr1,1555241,21796879,6168,Y,Y,N,,"Ahrendt SR et al.,2018","30297742"
825,"Dimargaris cristalligena RSA 468 single-cell v1.0",DimcrSC1,215637,30776575,7456,Y,Y,N,,"Ahrendt SR et al.,2018","30297742"
826,"Piptocephalis cylindrospora RSA 2659 single-cell v3.0",Pipcy3_1,1907219,10748607,4301,Y,Y,N,,"Ahrendt SR et al.,2018","30297742"
827,"Caulochytrium protostelioides ATCC 52028 single-cell v1.0",Caupr_SCcomb,1555241,10621701,3328,Y,Y,N,,"Ahrendt SR et al.,2018","30297742"
828,"Syncephalis pseudoplumigaleata Benny S71-1 single-cell v1.0",Synps1,1712513,16269185,6123,Y,Y,N,,"Ahrendt SR et al.,2018","30297742"
829,"Podospora anserina mat+ v1.0",Podans1,2587412,35544363,11692,Y,N,N,,,
830,"Earliella scabrosa CIRM-BRFM 1817 v1.0",Earsca1,2478900,51673276,17744,Y,N,N,,,
831,"Rhodofomes roseus CIRM-BRFM 1785 v1.0",Fomros1,34475,38369625,12986,Y,N,N,,,
832,"Obelidium mucronatum JEL802 v1.0",Obemuc1,110081,49458483,15468,Y,N,N,,,
833,"Aspergillus candidus CBS 102.13 v1.0",Aspcand1,41067,27317772,9641,Y,Y,N,,"Kjærbølling I et al.,2018","29317534"
834,"Aspergillus taichungensis IBT 19404 v1.0",Asptaic1,482145,27121736,9692,Y,Y,N,,"Kjærbølling I et al.,2018","29317534"
835,"Exobasidium maculosum A7-4 v1.0",Exomac1,1493668,22223690,10185,Y,N,N,,,
836,"Umbelopsis isabellina AD026 v1.0",Umbisa1,91625,21826060,9193,Y,N,N,,,
837,"Serendipita sp. 407 v1.0",Serend1,2136033,40693196,10738,Y,N,N,,,
838,"Cryptodiaporthe sp. AZ0812 v1.0",Crypto1,1907526,41659411,12727,Y,N,N,,,
839,"Cytospora chrysosperma CFL2056 v1.0",Cytch1,252740,36553556,10847,Y,N,N,,,
840,"Mycena sanguinolenta CBHHK176m v1.0",Mycsan1,230812,115408990,34875,Y,N,N,,,
841,"Mycena vitilis CBHHK169m v1.0",Mycvit1,1033281,83665095,27952,Y,N,N,,,
842,"Mycena alexandri CBHHK200 v1.0",Mycale1,1745969,132306732,32245,Y,N,N,,,
843,"Mycena crocata CBHHK184 v1.0",Myccro1,220801,93990387,30221,Y,N,N,,,
844,"Mycena belliae CBHHK173m v1.0",Mycbel1,1033014,56444626,18074,Y,N,N,,,
845,"Ustilago maydis 521 v2.0",Ustma2_2,237631,19664388,6785,Y,Y,N,,"Kämper J et al.,2006","17080091"
846,"Oliveonia pauxilla MPI-PUGE-AT-0066 v1.0",Olipa1,1026881,47727729,14601,Y,N,N,,,
847,"Paecilomyces variotii CBS 101075 v1.0",Paevar1,264951,30105809,9270,Y,Y,N,,"Urquhart AS et al.,N/D","30619145"
848,"Paraphoma chrysanthemicola MPI-GEGE-AT-0034 v1.0",Parch1,798071,40663325,15089,Y,N,N,,,
849,"Fusarium oxysporum MPI-SDFR-AT-0094 v1.0",Fusoxy1,5507,52242347,17445,Y,N,N,,,
850,"Achaetomium strumarium CBS333.67 v1.0",Achstr1,79814,32422668,10185,Y,N,N,,,
851,"Penicillium swiecickii 182 6C1 v1.0",Penswi1,2136024,34125416,12802,Y,N,N,,,
852,"Lasiosphaeria ovina CBS 958.72 v1.0",Lasov1,92902,51771160,14921,Y,N,N,,,
853,"Podospora didyma CBS 232.78 v1.0",Poddi1,330526,48328886,14870,Y,N,N,,,
854,"Apodospora peruviana CBS 118394 v1.0",Apope1,516989,42017045,13445,Y,N,N,,,
855,"Trametes polyzona CIRM-BRFM 1798 v1.0",Trapol1,239206,34431392,12346,Y,N,N,,,
856,"Trametes betulina CIRM-BRFM 1801 v1.0",Trabet1,5632,37474905,13239,Y,N,N,,,
857,"Leiotrametes menziesii CIRM-BRFM 1781 v1.0",Tramen1,2136021,35218293,12529,Y,N,N,,,
858,"Neurospora hispaniola FGSC 10403 v1.0",Neuhi1,588809,40807401,10446,Y,N,N,,,
859,"Mycena epipterygia CBHHK145m v1.0",Mycepi1,230806,118648059,37563,Y,N,N,,,
860,"Paraphysoderma sedebokerense JEL821 v1.0",Parsed1,1500003,27876074,10859,Y,N,N,,,
861,"Polyporus squamosus CCBS 676 v1.0",Polsqu1,5640,55468683,15283,Y,N,N,,,
862,"Podospora anserina S mat+",Podan3,515849,35010595,10588,Y,Y,N,,"Espagne E et al.,N/D","18460219"
863,"Trametes maxima CIRM-BRFM 1813 v1.0",Tramax1,259368,36566397,12468,Y,N,N,,,
864,"Setosphaeria turcica NY001 v2.0",Settur3,93612,38422090,12547,Y,N,N,,,
865,"Setosphaeria turcica Et28A v2.0",Settu3,93612,43014577,12028,Y,Y,N,,"Ohm RA et al.,N/D~Condon BJ et al.,N/D","23236275 23357949"
866,"Suillus subaureus MN1 v1.0",Suisub1,48587,57660940,15740,Y,N,N,,,
867,"Tulasnella calospora UAMH 9824 v1.0",Tulcal1,156515,70372952,17081,Y,N,N,,,
868,"Cercophora caudata CBS 606.72 v1.0",Cercau1,314043,41294634,14552,Y,N,N,,,
869,"Apiosordaria backusii CBS 540.89 v1.0",Apibac1,314023,40188346,12368,Y,N,N,,,
870,"Cercophora newfieldiana SMH2532-1 v1.0",Cernew1,92897,39838444,14520,Y,N,N,,,
871,"Lasiosphaeris hirsuta SMH4607-1 v1.0",Lashir1,260670,44448086,14131,Y,N,N,,,
872,"Puccinia striiformis f. sp. tritici 104 E137 A-",Pucstr1,1238467,156834097,30249,Y,Y,N,,"Schwessinger B et al.,2018","29463659"
873,"Rhizophagus irregularis B3 v1.0",RhiirB3,588596,124893935,25164,Y,Y,N,,"Chen ECH et al.,2018","29355972"
874,"Rhizophagus irregularis A5 v1.0",RhiirA5,588596,131461109,26585,Y,Y,N,,"Chen ECH et al.,2018","29355972"
875,"Rhizophagus irregularis A4 v1.0",RhiirA4,588596,138301208,25760,Y,Y,N,,"Chen ECH et al.,2018","29355972"
876,"Rhizophagus irregularis C2 v1.0",RhiirC2,588596,122966682,26756,Y,Y,N,,"Chen ECH et al.,2018","29355972"
877,"Rhizophagus irregularis A1 v1.0",RhiirA1_1,588596,125868962,26659,Y,Y,N,,"Chen ECH et al.,2018","29355972"
878,"Rhizophagus irregularis DAOM 197198 v2.0",Rhiir2_1,588596,136807476,26183,Y,Y,N,,"Chen ECH et al.,2018","29355972"
879,"Blumeria graminis f. sp. tritici 96224",Blugra1,1268274,158944908,6525,Y,Y,N,,"Wicker T et al.,2013","23852167"
880,"Pseudogymnoascus destructans 20631-21",Pseudest1,658429,35818201,9335,Y,Y,N,,"Drees KP et al.,2016","27365344"
881,"Penicillium italicum PHI-1",Penita1,40296,30164421,9996,Y,Y,N,,"Ballester AR et al.,2015","25338147"
882,"Trichoderma gamsii T6085",Trigam1,398673,37970415,10944,Y,Y,N,,"Baroncelli R et al.,2016","26893428"
883,"Pochonia chlamydosporia 170",Pocchl1,1380566,44215803,14204,Y,Y,N,,"Wang G et al.,2016","27416025"
884,"Ilyonectria europaea MPI-CAGE-AT-0026 v1.0",Ilyeu1,1079114,62828295,20870,Y,N,N,,,
885,"Alternaria alternata MPI-PUGE-AT-0064 v1.0",Altalt1,5599,33441249,13086,Y,N,N,,,
886,"Erysiphe necator c",Erynec1,52586,52505057,6484,Y,Y,N,,"Jones L et al.,2014","25487071"
887,"Moniliella sp. MCA 3643 v1.0",Monili2,1954213,25920869,9189,Y,N,N,,,
888,"Phialophora attae CBS 131958",Phiatt1,1664694,30363635,11848,Y,Y,N,,"Moreno LF et al.,2015","26586868"
889,"Suillus tomentosus FC115 v1.0",Suitom1,48589,53063458,17198,Y,N,N,,,
890,"Leiotrametes lactinea CIRM-BRFM 1664 v1.0",Tralac1,1391043,36341856,12284,Y,N,N,,,
891,"Trametes meyenii CIRM-BRFM 1810 v1.0",Tramey1,526243,35370798,12440,Y,N,N,,,
892,"Hexagonia nitida CIRM-BRFM 1802 v1.0",Hexnit1,1140402,41833432,14981,Y,N,N,,,
893,"Fomes fomentarius CIRM-BRFM 1821 v1.0",Fomfom1,40442,40950972,14757,Y,N,N,,,
894,"Abortiporus biennis CIRM-BRFM1778 v1.0",Abobie1,137743,33118568,11767,Y,N,N,,,
895,"Amylostereum chailletii DWAch2 v1.0",Amycha1,55340,38204724,14750,Y,N,N,,,
896,"Penicillium antarcticum IBT 31811",Penant1,416450,31454985,11514,Y,Y,N,,"Nielsen JC et al.,2017","28368369"
897,"Penicillium steckii IBT 24891",Penste1,303698,32109558,10362,Y,Y,N,,"Nielsen JC et al.,2017","28368369"
898,"Homolaphlyctis polyrhiza JEL142 v1.0",Hompol1,1142505,21324754,7123,Y,Y,N,,"Joneson S et al.,2011","22072962"
899,"Puccinia coronata avenae 12NC29",PuccoNC29_1,860303,166280221,28270,Y,Y,N,,"Nazareno ES et al.,2018","28846186"
900,"Puccinia coronata avenae 12SD80",PuccoSD80_1,860303,150467806,26323,Y,Y,N,,"Nazareno ES et al.,2018","28846186"
901,"Schizothecium vesticola SMH3187-1 v1.0",Schves1,314040,35941384,12641,Y,N,N,,,
902,"Bombardia bombarda SMH3391-2 v1.0",Bombom1,252184,38597794,12102,Y,N,N,,,
903,"Lasiosphaeria miniovina SMH2392-1A v1.0",Lasmin1,1954250,49418628,14970,Y,N,N,,,
904,"Saksenaea vasiformis B4078",Sakvas1,90258,42502389,9387,Y,Y,N,,"Chibucos MC et al.,2016","27447865"
905,"Penicillium flavigenum IBT 14082",Penfla1,254877,32903267,10994,Y,Y,N,,"Nielsen JC et al.,2017","28368369"
906,"Nakaseomyces bacillisporus CBS 7720",Nakbac1,51660,10993726,5086,Y,Y,N,,"Gabaldón T et al.,2013","24034898"
907,"Thermomyces lanuginosus SSBP",Thelan1,5541,19155516,6241,Y,Y,N,,"McHunu NP et al.,2013","23788551"
908,"Nakaseomyces delphensis CBS 2170",Nakdel1,51657,10932331,5103,Y,Y,N,,"Gabaldón T et al.,2013","24034898"
909,"Tolypocladium inflatum NRRL 8044",Tolinf1,29910,30348711,9998,Y,Y,N,,"Bushley KE et al.,2013","23818858"
910,"Cladosporium sphaerospermum UM 843",Clasph1,92950,26690478,8807,Y,Y,N,,"Ng KP et al.,2012","22544899"
911,"Armillaria ostoyae C18/9",Armosto1,47428,60106801,22705,Y,Y,N,,"Sipos G et al.,2017","29085064"
912,"Armillaria cepistipes B5",Armcep1,47426,75828441,23460,Y,Y,N,,"Sipos G et al.,2017","29085064"
913,"Zancudomyces culisetae COL-18-3",Zancul2,1213189,28637897,8067,Y,Y,N,,"Wang Y et al.,2016","27343289"
914,"Smittium mucronatum ALG-7-W6",Smimuc2,133383,102350667,8247,Y,Y,N,,"Wang Y et al.,2016","27343289"
915,"Smittium culicis GSMNP",SmicuMNP_2,133412,77124806,12166,Y,Y,N,,"Wang Y et al.,2016","27343289"
916,"Smittium culicis ID-206-W2",SmiculW2_1,133412,71049901,11260,Y,Y,N,,"Wang Y et al.,2016","27343289"
917,"Mortierella humilis PMI_1414 v1.0",Morhum1,64523,36204870,12012,Y,N,N,,,
918,"Mycena sp. CBHHK59/15 v1.0",Myc59_1,1940295,177780440,38334,Y,N,N,,,
919,"Truncatella angustata MPI-SDFR-AT-0073 v1.0",Truan1,152316,47102642,14777,Y,N,N,,,
920,"Phaeoacremonium sp. FL0889 v1.0",PhaeoFL0889_1,1884258,48117814,17000,Y,N,N,,,
921,"Fusarium redolens MPI-CAGE-AT-0023 v1.0",Fusre1,48865,52563400,17051,Y,N,N,,,
922,"Pyrenochaeta lycopersici MPI-SDFR-AT-0127 v1.0",Pyrly1,285811,40265766,14311,Y,N,N,,,
923,"Tilletiopsis sp. TKC30 v1.0",Tillet1,1954214,27941152,9728,Y,N,N,,,
924,"Sporodiniella umbellata MES 1446 v1.0",Spoumb1,101117,26235891,10781,Y,N,N,,,
925,"Moesziomyces aphidis DSM 70725",Moeaph1,1391700,17921702,6011,Y,Y,N,,"Lorenz S et al.,2014","24526638"
926,"Penicillium decumbens IBT 11843",Pendec1,69771,23940802,7149,Y,Y,N,,"Nielsen JC et al.,2017","28368369"
927,"Penicillium solitum IBT 29525",Pensol1,60172,33184895,11889,Y,Y,N,,"Nielsen JC et al.,2017","28368369"
928,"Ustilaginoidea virens",Ustvir1,1159556,33567624,6451,Y,Y,N,,"Kumagai T et al.,2016","27151791"
929,"Penicillium vulpinum IBT 29486",Penvul1,29845,31032801,10278,Y,Y,N,,"Nielsen JC et al.,2017","28368369"
930,"Penicillium coprophilum IBT 31321",Pencop1,36646,28360408,8999,Y,Y,N,,"Nielsen JC et al.,2017","28368369"
931,"Penicillium nalgiovense FM193",Pennal1,1439352,32980092,11853,Y,Y,N,,"Nielsen JC et al.,2017","28368369"
932,"Suillus luteus UH-Slu-Lm8-n1 v3.0",Suilu4,5384,44486502,16588,Y,Y,N,,"Kohler A et al.,2015","25706625"
933,"Trichosporon asahii var. asahii CBS 8904",Trias8904,1220162,25267041,8507,Y,Y,N,,"Yang RY et al.,2012","23193141"
934,"Trichosporon asahii var. asahii CBS 2479",Trias2479,1186058,24271268,8300,Y,Y,N,,"Yang R et al.,2003","14641628"
935,"Penicillium polonicum IBT 4502",Penpol1,60169,32376562,10694,Y,Y,N,,"Nielsen JC et al.,2017","28368369"
936,"Zymoseptoria brevis Zb18110",Zymbr1,1047168,31914300,10566,Y,Y,N,,"Grandaubert J et al.,2015","25917918"
937,"Neonectria ditissima R09/05",Neodi1,78410,45719213,12685,Y,Y,N,,"Gómez-Cortecero A et al.,2015","26586869"
938,"Stemphylium lycopersici CIDEFI-216",Stely1,183478,35173254,8997,Y,Y,N,,"Franco ME et al.,2015","26404600"
939,"Penicillium griseofulvum PG3",Pengri1,5078,29140916,9630,Y,Y,N,,"Banani H et al.,2016","26729047"
940,"Colletotrichum tofieldiae 0861",Colto1,708197,52836184,12501,Y,Y,N,,"Hacquard S et al.,2016","27150427"
941,"Byssochlamys spectabilis No. 5",Byssp1,1356009,29762401,8877,Y,Y,N,,"Oka T et al.,2014","24407650"
942,"Fonsecaea nubica CBS 269.64",Fonnu1,856822,33787447,11681,Y,Y,N,,"Costa FF et al.,2016","27491988"
943,"Fonsecaea monophora CBS 269.37",Fonmo1,254056,35229797,11984,Y,Y,N,,"Bombassaro A et al.,2016","27469960"
944,"Aspergillus bombycis NRRL 26010",Aspbom1,109264,37474605,12265,Y,Y,N,,"Moore GG et al.,2016","27664179"
945,"Mortierella sp. GBAus27b v1.0",MorGBAus27b_1,1954212,44971843,13953,Y,N,N,,,
946,"Stachybotrys elegans MPI-CAGE-CH-0235 v1.0",Stael1,80388,43467584,14925,Y,N,N,,,
947,"Neolecta irregularis DAH-1 v1.0",Neoirr1,48691,14591686,6674,Y,Y,N,,"Nguyen TA et al.,2017","28176784"
948,"Hortaea werneckii EXF-2000 M0 v1.0",Horwer1,91943,49942992,15748,Y,Y,N,,"Lenassi M et al.,N/D","23977017"
949,"Aspergillus cristatus GZAAS20.1005",Aspcri1,573508,28454192,10344,Y,Y,N,,"Ge Y et al.,2016","27267057"
950,"Penicillium digitatum Pd1",Pendig1,1170230,24884312,8946,Y,Y,N,,"Marcet-Houben M et al.,2012","23171342"
951,"Antrodia serialis Sig1Antser10 v1.0",Antser1,139415,66694225,17406,Y,N,N,,,
952,"Vuilleminia comedens VcCUCC2015_SSI3 v1.0",Vuico1,47058,61630272,22331,Y,N,N,,,
953,"Phellinus ferrugineofuscus SpK3Phefer14 v1.0",Phefer1,167367,36888899,11139,Y,N,N,,,
954,"Myceliophthora heterothallica CBS 202.75 v1.0",Mychet1,1149848,35441645,9222,Y,N,N,,,
955,"Thanatephorus cucumeris MPI-SDFR-AT-0096 v1.0",Thacu1,107832,45795111,12955,Y,N,N,,,
956,"Phyllosticta sp. CPC 27913 v1.0",Phycpc1,1882840,32267666,11259,Y,Y,N,,"Guarnaccia V et al.,2019","31512371"
957,"Microdochium trichocladiopsis MPI-CAGE-CH-0230 v1.0",Mictri1,1682393,49282715,16025,Y,N,N,,,
958,"Phyllosticta paracitricarpa CBS 141357 v1.0",Phy27169,1907483,29529839,11081,Y,Y,N,,"Guarnaccia V et al.,2019","31512371"
959,"Phycomyces nitens S609 v1.0",PnitS609_1,269771,36991456,11877,Y,N,N,,,
960,"Rhodosporidium toruloides IFO0880 v4.0",Rhoto_IFO0880_4,5286,20683845,8490,Y,Y,N,,"Coradetti ST et al.,2018","29521624"
961,"Phycomyces nitens S607 v1.0",PnitS607_1,269771,35560626,11669,Y,N,N,,,
962,"Phycomyces nitens S608 v1.0",PnitS608_1,269771,37678874,11985,Y,N,N,,,
963,"Dichotomocladium elegans RSA 919- v1.0",Dicele1,101130,39778020,12396,Y,N,N,,,
964,"Mycena rosella CBHHK067 v1.0",Mycros1,1033263,129492142,34060,Y,N,N,,,
965,"Russula vinacea BPL710 v1.0",Rusvin1,517384,43280073,12673,Y,N,N,,,
966,"Gremmeniella abietina DAOM 170408 v1.0",Greab1,127520,38809823,11131,Y,N,N,,,
967,"Colletotrichum acutatum CBS 112980 v2.0",Colac2,27357,49057477,15036,Y,N,N,,,
968,"Aspergillus nomius NRRL 13137",Aspnom13137_1,1509407,36138823,11914,Y,Y,N,,"Moore GG et al.,2015","26216546"
969,"Aspergillus udagawae IFM 46973",Aspuda1,91492,32185562,9999,Y,Y,N,,"Kusuya Y et al.,2015","26251487"
970,"Aspergillus calidoustus",Aspcal1,454130,41102685,15139,Y,Y,N,,"Horn F et al.,2016","26966204"
971,"Sclerophora sanguinea CBS100924 v1.0",Sclsan1,1410009,18019643,7223,Y,N,N,,,
972,"Phyllosticta citricarpa CBS 127454 v1.0",Phycitr1,55181,28952665,11088,Y,Y,N,,"Guarnaccia V et al.,2019","31512371"
973,"Colletotrichum navitas CBS125086 v1.0",Colna1,681940,52436969,14682,Y,N,N,,,
974,"Didymocrea sadasivanii CBS 438.65 v1.0",Didsa1,372059,45143804,13361,Y,N,N,,,
975,"Coemansia spiralis RSA 1278 v1.0",Coespi1,417178,18931979,7247,Y,N,N,,,
976,"Kickxella alabastrina RSA 675 v1.0",Kicala1,61397,22263034,7475,Y,N,N,,,
977,"Pilobolus umbonatus NRRL 6349 v1.0",Pilumb1,101123,34772712,10983,Y,N,N,,,
978,"Mycena haematopus CBHHK189 v1.0",Mychae1,230807,62806267,20804,Y,N,N,,,
979,"Rigidoporus microporus ED310 v1.0",Rigmic1,219653,42090139,10917,Y,Y,N,,"Oghenekaro AO et al.,2020","32251355"
980,"Aliquandostipite khaoyaiensis CBS 118232 v1.0",Alikh1,112102,119520317,11678,Y,N,N,,,
981,"Ophiostoma novo-ulmi subsp. novo-ulmi H327",Ophnu1,1224258,31784886,8640,Y,Y,N,,"Forgetta V et al.,2013~Comeau AM et al.,2014","23542132 25539722"
982,"Rhizopogon vesiculosus Smith",Rhives1,180088,43809644,14218,Y,Y,N,,"Mujic AB et al.,2017","28450370"
983,"Ustilago hordei Uh4857_4",Usthor1,1128400,21150702,7110,Y,Y,N,,"Laurie JD et al.,2012","22623492"
984,"Phyllosticta capitalensis CBS 128856 v1.0",Phycap1,121624,32461131,12063,Y,Y,N,,"Guarnaccia V et al.,2019","31512371"
985,"Yarrowia lipolytica FKP355 v1.0",Yarlip1,4952,20076540,6858,Y,Y,N,,"Pomraning KR et al.,2018","30518677"
986,"Lecythophora sp. AK0013 v1.0",LecAK0013_1,1884255,45654947,12290,Y,N,N,,,
987,"Multifurca ochricompacta BPL690 v1.0",Muloch1,376703,54697930,10514,Y,N,N,,,
988,"Russula compacta BPL669 v1.0",Ruscom1,40490,45678814,10834,Y,N,N,,,
989,"Terfezia claveryi T7 v1.0",Tercla1,139407,74471381,12765,Y,Y,N,,"Miyauchi S et al.,2020~Marqués-Gálvez JE et al.,2020","33046698 33118170"
990,"Lactifluus cf. subvellereus BPL653 v1.0",Lacsub1,1837270,44824221,12802,Y,N,N,,,
991,"Mycena capillaripes Frankland 9286 v1.0",Mycrub1,230804,119906144,37256,Y,N,N,,,
992,"Lobaria pulmonaria Scotland reference genome v1.0",Lobpul1,86794,56119610,15607,Y,N,N,,,
993,"Panaeolus papilionaceus CIRM-BRFM 715 v1.0",Panpap1,330517,50889730,17466,Y,Y,N,,"Ruiz-Dueñas FJ et al.,2020","33211093"
994,"Vuilleminia comedens VcCUCC2015_SSI6 v1.0",Vuicom1,47058,59292727,21775,Y,N,N,,,
995,"Pycnoporus cinnabarinus CIRM-BRFM 50 v1.0",Pyccin1,5643,35142616,12533,Y,N,N,,,
996,"Cladorrhinum bulbillosum DJ3 v1.0",Clabul1,2587404,39735607,12786,Y,N,N,,,
997,"Phyllosticta citrichinaensis CBS 130529 v1.0",Phcitr1,1130410,29162704,11092,Y,Y,N,,"Guarnaccia V et al.,2019","31512371"
998,"Cytidiella melzeri FP 102339 v1.0",Cytmel1,1883072,50894641,13046,Y,N,N,,,
999,"Bisporella sp. PMI_857 v1.0",Bissp1,1954211,56472170,17945,Y,N,N,,,
1000,"Cunninghamella echinulata NRRL 1382 v1.0",Cunech1,76405,29002410,10443,Y,N,N,,,
1001,"Cokeromyces recurvatus NRRL 2243 v1.0",Cokrec1,90255,28120762,10916,Y,N,N,,,
